casts,description,director,genres,rate,released_year,title
LaKeith Stanfield/Takehiro Hira/Maya Tanida/Ian Chen/Gwendoline Yeo/Ming-Na Wen/Noshir Dalal/Paul Nakauchi/Darren Criss/Dia Frampton/William Christopher Stephens/Julie Marcus/Greg Chun/Dan Donohue/Johnny Yong Bosch/Michael Sinterniklaas/Amy Hill/Emily Woo Zeller/Keone Young,A peaceful boatman once known as the Black Samurai is pulled back into conflict when he takes a little girl with mysterious powers under his wing.,,Anime Series/International TV Shows,TV-MA,2021,Yasuke
Amanda Seyfried/James Norton/Natalia Dyer/Alex Neustaedter/F. Murray Abraham/Rhea Seehorn/Michael O'Keefe/Karen Allen/Jack Gore/James Urbaniak/Ana Sophia Heger,A young woman discovers that both her husband and their new home harbor sinister secrets after they leave Manhattan for small-town life.,Robert Pulcini,Horror Movies/Thrillers,TV-MA,2021,Things Heard & Seen
Nagarjuna Akkineni/Dia Mirza/Saiyami Kher/Atul Kulkarni/Bilal Hussain/Ali Reza/Mayank Parakh,A brash but brilliant Indian intelligence agent leads a covert operation to nab the mastermind behind a series of attacks threatening national security.,Ahishor Solomon,Action & Adventure/International Movies,TV-MA,2020,Wild Dog
Olu Jacobs/Richard Mofe-Damijo/William R. Moses/Taiwo Ajai-Lycett/Ifeanyi Williams/Ivie Okujaye/Dayton Sinkia/Bradley Gordon,"After drilling depletes a small village, a corporation finds more oil in the region, igniting tensions among the community.",Curtis Graham,Dramas/International Movies/Thrillers,TV-14,2015,Oloibiri
Heath Ledger/Jake Gyllenhaal/Michelle Williams/Linda Cardellini/Anna Faris/Anne Hathaway/Randy Quaid/Graham Beckel/Scott Michael Campbell/David Harbour/Kate Mara,"Two sheepherders in 1963 Wyoming become involved in an increasingly passionate affair, but hiding the relationship from their wives proves agonizing.",Ang Lee,Dramas/LGBTQ Movies/Romantic Movies,R,2005,Brokeback Mountain
,"A group of aspiring young musicians yearn for stardom while navigating the ups and downs of friendship, romance, and life at school.",,International TV Shows/Romantic TV Shows/TV Comedies,TV-PG,2016,Dancing Angels
Jennifer Tilly/Brad Dourif/Katherine Heigl/Nick Stabile/Alexis Arquette/Gordon Michael Woolvett/John Ritter/Lawrence Dane/Michael Johnson/James Gallanders,"After Chucky is revived by a former lover, he transfers her spirit into a doll and enlists her help in a scheme to become human again.",Ronny Yu,Comedies/Cult Movies/Horror Movies,R,1998,Bride of Chucky
Jay Hatton/Zoe Hatz/Meesha Contreras/Dylan Shombing/Tyler Nathan/Leo Orgil/Michela Luci/Ian Ho/Evan Lefeuvre/Annick Obonsawin,Catch a ride with the Mighty Express â€” a team of trains and their kid friends who overcome trouble on the tracks with quick thinking and teamwork!,,Kids' TV,TV-Y,2021,Mighty Express
Naomi Higgins/Olivia Junkeer/Wil King,"Three best friends negotiate work, fun, identity politics, hookups and wild nights out in this razor-sharp satire of 20-something life in Melbourne.",,International TV Shows/TV Comedies,TV-MA,2021,Why Are You Like This
Saurav Chakraborty/Sankalp Rastogi/Anamaya Varma/Aditya Raaj/Manoj Pandey,"With a dangerous villain to defeat in Hong Kong, Motu takes his martial arts skills to the next level, training with a boneless master to face the foe.",Suhas Kadav,Children & Family Movies/Music & Musicals,TV-Y7,2017,Motu Patlu in Hong Kong: Kung Fu Kings 3
